sample_id,dice,iou,precision,recall,specificity,accuracy,f2,mae,boundary_f1,foreground_fraction,occupancy_mae_stage2,occupancy_mae_stage1,solver_active_fraction_stage2
cju7bduyq1rjf08719giru9ho,0.9666059613227844,0.935370147228241,0.9613526463508606,0.9719169735908508,0.994673490524292,0.991943359375,0.9697855710983276,0.008510701358318329,0.7910325527191162,0.11997070163488388,3.4063418752339203e-10,6.122687912224478e-10,0.011406250298023224
cju2nsmwjlzyl0993jl80chvz,0.9644230008125305,0.9312904477119446,0.9350277185440063,0.995726466178894,0.9965122938156128,0.9964746236801147,0.9829643368721008,0.003570280270650983,0.9686946868896484,0.04798828065395355,1.2617769329370532e-10,1.619452349999051e-10,0.0023437500931322575
cju84dsvaklpx098750hp83x4,0.5208423733711243,0.35212093591690063,0.9916008710861206,0.3531742990016937,0.9981513619422913,0.7518066167831421,0.40537288784980774,0.24610736966133118,0.3200075626373291,0.38194334506988525,1.0197039879145109e-09,1.7219596859519015e-09,0.057148437947034836
cju7etr3y2p4t0801cdzjj8ab,0.8279610276222229,0.7064279317855835,0.7444358468055725,0.9325978755950928,0.9719493389129639,0.9687793254852295,0.8877221345901489,0.0319766029715538,0.4223826825618744,0.08055663853883743,8.694638342632288e-10,1.2248304592787917e-09,0.035624999552965164
cju0s690hkp960855tjuaqvv0,0.9630723595619202,0.9287749528884888,0.9712892770767212,0.9549933671951294,0.9989254474639893,0.997314453125,0.9582086205482483,0.002723673591390252,0.9328557848930359,0.03666992112994194,1.4701936890126888e-10,2.0701347580587282e-10,0.0026562500279396772
cju892fesoq2g0801n0e0jyia,0.9296456575393677,0.8685400485992432,0.9622045159339905,0.8992180824279785,0.9903360605239868,0.9707617163658142,0.9111469388008118,0.029176199808716774,0.6888760924339294,0.21482421457767487,5.892968890641725e-10,8.459462019771991e-10,0.022929687052965164
cju84hibuktj80871u519o71q,0.9769002795219421,0.9548436403274536,0.9807270169258118,0.9731032252311707,0.9987183213233948,0.9971093535423279,0.9746184945106506,0.002923433668911457,0.9944826364517212,0.06281249970197678,1.208694810905797e-10,1.2980855279565162e-10,0.001992187462747097
cju2z6ez69g4u0801qwt088lw,0.8537712693214417,0.7448524832725525,0.9795269966125488,0.7566317915916443,0.9930176138877869,0.9206152558326721,0.7927085757255554,0.07908040285110474,0.49956515431404114,0.30628907680511475,1.5828937049988667e-09,2.2104162944458494e-09,0.05558593571186066
cju5x7iskmad90818frchyfwd,0.7511751055717468,0.6015055775642395,0.6036951541900635,0.9940062165260315,0.8637785315513611,0.8862695097923279,0.8801910877227783,0.11308885365724564,0.2912966310977936,0.17270508408546448,2.016698585904919e-09,3.2642883951439217e-09,0.1028124988079071
cju41z76wlgbz0801qdetlvby,0.9278733134269714,0.8654512166976929,0.9656224846839905,0.8929646611213684,0.9963167905807495,0.9855859279632568,0.9066081047058105,0.014364386908710003,0.6938371062278748,0.10382812470197678,2.748784810879812e-10,2.9319605077127164e-10,0.004609374795109034
cju2t16vuucaq0835xcpsivn2,0.9697058796882629,0.9411932826042175,0.969991147518158,0.9694207310676575,0.9978660345077515,0.9959765672683716,0.9695348143577576,0.00400707358494401,0.9425955414772034,0.06642577797174454,8.824262154316642e-11,6.526507112525337e-11,0.0022265624720603228
cju3xwpgviwlx0871rwm15q7v,0.64681476354599,0.47799426317214966,0.4837953448295593,0.975528359413147,0.9213721752166748,0.9251757860183716,0.8107233643531799,0.0762052983045578,0.277312695980072,0.07023437321186066,1.0672013273094194e-09,2.1940940175824153e-09,0.05210937559604645
